symbol,type,ex_date,ratio,cash_amount,record_date,payment_date,announced_on
DEMO,CashDividend,2026-08-10,,350,2026-08-11,2026-08-25,2026-07-20
DEMO,ShareIssuance,2026-08-06,,,,,2026-07-01
FPT.HM,CashDividend,2016-05-27,,1000,,2016-06-10,
FPT.HM,StockDividend,2016-05-27,0.15,,,,
VHM.HM,StockDividend,2026-08-06,1,,2026-08-07,,2026-07-21
MBB.HM,StockDividend,2026-08-11,0.15,,2026-08-12,,2026-08-04
MBB.HM,RightsIssue,2026-08-11,0.1,10000,2026-08-12,,2026-08-04
SSI.HM,CashDividend,2026-08-17,,1000,2026-08-18,2026-09-14,2026-07-29
SSI.HM,BonusShares,2026-08-17,0.2,,2026-08-18,,2026-07-29
VIB.HM,BonusShares,2026-09-10,0.095,,2026-09-11,,2026-08-14
TCX.HM,StockDividend,2026-09-17,0.2,,2026-09-18,,2026-09-10
VIB.HM,BonusShares,2024-08-22,0.17,,2024-08-23,,2024-08-07
SSB.HM,StockDividend,2024-08-23,0.131826,,2024-08-26,,2024-08-09
SSB.HM,BonusShares,2024-08-23,0.004127,,2024-08-26,,2024-08-09
GAS.HM,CashDividend,2024-09-13,,6000,2024-09-16,2024-11-28,2024-08-21
GAS.HM,BonusShares,2024-09-13,0.02,,2024-09-16,,2024-08-21
SSI.HM,CashDividend,2024-09-23,,1000,2024-09-24,2024-10-18,2024-09-10
SSI.HM,BonusShares,2024-09-23,0.2,,2024-09-24,,2024-09-10
SSI.HM,RightsIssue,2024-09-23,0.1,15000,2024-09-24,,2024-09-10
TPB.HM,StockDividend,2024-09-23,0.2,,2024-09-24,,2024-09-12
HDB.HM,StockDividend,2024-12-11,0.2,,2024-12-12,,2024-12-03
BID.HM,StockDividend,2024-12-23,0.21,,2024-12-24,,2024-12-13
MBB.HM,StockDividend,2025-01-07,0.15,,2025-01-08,,2024-12-27
SHB.HM,StockDividend,2025-02-26,0.11,,2025-02-27,,2025-02-18
VCB.HM,StockDividend,2025-03-12,0.495,,2025-03-13,,2025-03-04
TPB.HM,CashDividend,2025-05-13,,1000,2025-05-14,2025-05-23,2025-04-29
LPB.HM,CashDividend,2025-05-19,,2500,2025-05-20,2025-05-28,2025-05-09
ACB.HM,CashDividend,2025-05-23,,1000,2025-05-26,2025-06-05,2025-05-15
ACB.HM,StockDividend,2025-05-23,0.15,,2025-05-26,,2025-05-15
HPG.HM,StockDividend,2025-06-26,0.2,,2025-06-27,,2025-06-03
VIB.HM,BonusShares,2025-07-17,0.14,,2025-07-18,,2025-07-09
FPT.HM,BonusShares,2025-07-21,0.15,,2025-07-22,,2025-07-14
MBB.HM,StockDividend,2025-08-13,0.32,,2025-08-14,,2025-08-06
MBB.HM,CashDividend,2025-08-13,,300,2025-08-14,2025-08-21,2025-08-06
SHB.HM,StockDividend,2025-08-18,0.13,,2025-08-19,,2025-08-07
VIC.HM,BonusShares,2025-12-05,1,,2025-12-08,,2025-11-28
SSI.HM,RightsIssue,2025-12-08,0.2,15000,2025-12-09,,2025-11-26
CTG.HM,StockDividend,2025-12-17,0.446366,,2025-12-18,,2025-12-09
HDB.HM,StockDividend,2025-12-18,0.25,,2025-12-19,,2025-12-10
HDB.HM,BonusShares,2025-12-18,0.0469,,2025-12-19,,2025-12-10
DGC.HM,CashDividend,2025-12-24,,3000,2025-12-25,2026-01-15,2025-12-10
HPG.HM,StockDividend,2026-05-25,0.1,,2026-05-26,,2026-05-11
SSB.HM,StockDividend,2026-05-28,0.205202,,2026-05-29,,2026-05-21
ACB.HM,CashDividend,2026-06-15,,700,2026-06-16,2026-06-23,2026-06-04
ACB.HM,StockDividend,2026-06-15,0.13,,2026-06-16,,2026-06-04
VJC.HM,StockDividend,2026-06-16,0.3,,2026-06-17,,2026-06-08
