symbol,name,exchange,asset_type,currency,isin,figi,listed_on
FPT.HM,FPT Corporation,HOSE,Equity,VND,,,
VNM.HM,Vietnam Dairy Products Joint Stock Company,HOSE,Equity,VND,,,
HPG.HM,Hoa Phat Group Joint Stock Company,HOSE,Equity,VND,,,
VNINDEX.HM,VN-Index,HOSE,Index,VND,,,
SHS.HN,Saigon - Hanoi Securities Joint Stock Company,HNX,Equity,VND,,,
BSR.HM,Binh Son Refining and Petrochemical Joint Stock Company,HOSE,Equity,VND,,,
ACB.HM,Ngân hàng TMCP Á Châu,HOSE,Equity,VND,,,
BID.HM,Ngân hàng TMCP Đầu Tư và Phát triển Việt Nam,HOSE,Equity,VND,,,
CTG.HM,Ngân hàng TMCP Công Thương Việt Nam,HOSE,Equity,VND,,,
GAS.HM,Tổng Công ty Khí Việt Nam - CTCP,HOSE,Equity,VND,,,
GVR.HM,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,HOSE,Equity,VND,,,
HDB.HM,Ngân hàng TMCP Phát triển TP.HCM,HOSE,Equity,VND,,,
LPB.HM,Ngân hàng TMCP Lộc Phát Việt Nam,HOSE,Equity,VND,,,
MBB.HM,Ngân hàng TMCP Quân Đội,HOSE,Equity,VND,,,
MCH.HM,CTCP Hàng tiêu dùng Masan,HOSE,Equity,VND,,,
MSN.HM,CTCP Tập Đoàn Masan,HOSE,Equity,VND,,,
MWG.HM,CTCP Đầu tư Thế Giới Di Động,HOSE,Equity,VND,,,
SAB.HM,Tổng CTCP Bia – Rượu – Nước giải khát Sài Gòn,HOSE,Equity,VND,,,
SHB.HM,Ngân hàng TMCP Sài Gòn - Hà Nội,HOSE,Equity,VND,,,
SSB.HM,Ngân hàng TMCP Đông Nam Á,HOSE,Equity,VND,,,
SSI.HM,CTCP Chứng khoán SSI,HOSE,Equity,VND,,,
STB.HM,Ngân hàng TMCP Sài Gòn Thương Tín,HOSE,Equity,VND,,,
TCB.HM,Ngân hàng TMCP Kỹ thương Việt Nam,HOSE,Equity,VND,,,
TCX.HM,CTCP Chứng khoán Kỹ Thương,HOSE,Equity,VND,,,
VCB.HM,Ngân hàng TMCP Ngoại Thương Việt Nam,HOSE,Equity,VND,,,
VHM.HM,CTCP Vinhomes,HOSE,Equity,VND,,,
VIB.HM,Ngân hàng TMCP Quốc tế Việt Nam,HOSE,Equity,VND,,,
VIC.HM,Tập Đoàn Vingroup - CTCP,HOSE,Equity,VND,,,
VJC.HM,CTCP Hàng không Vietjet,HOSE,Equity,VND,,,
VPB.HM,Ngân hàng TMCP Việt Nam Thịnh vượng,HOSE,Equity,VND,,,
VPL.HM,CTCP Vinpearl,HOSE,Equity,VND,,,
VRE.HM,CTCP Vincom Retail,HOSE,Equity,VND,,,
BCM.HM,Tổng Công ty Đầu tư và Phát triển Công nghiệp,HOSE,Equity,VND,,,
DGC.HM,CTCP Tập đoàn Hóa chất Đức Giang,HOSE,Equity,VND,,,
PLX.HM,Tập đoàn Xăng dầu Việt Nam,HOSE,Equity,VND,,,
TPB.HM,Ngân hàng TMCP Tiên Phong,HOSE,Equity,VND,,,
