exchange,date,name
HOSE,2022-01-03,New Year's Day (observed)
HNX,2022-01-03,New Year's Day (observed)
UPCOM,2022-01-03,New Year's Day (observed)
HOSE,2022-01-31,Tet
HNX,2022-01-31,Tet
UPCOM,2022-01-31,Tet
HOSE,2022-02-01,Tet
HNX,2022-02-01,Tet
UPCOM,2022-02-01,Tet
HOSE,2022-02-02,Tet
HNX,2022-02-02,Tet
UPCOM,2022-02-02,Tet
HOSE,2022-02-03,Tet
HNX,2022-02-03,Tet
UPCOM,2022-02-03,Tet
HOSE,2022-02-04,Tet
HNX,2022-02-04,Tet
UPCOM,2022-02-04,Tet
HOSE,2022-04-11,Hung Kings Commemoration (observed)
HNX,2022-04-11,Hung Kings Commemoration (observed)
UPCOM,2022-04-11,Hung Kings Commemoration (observed)
HOSE,2022-05-02,Reunification Day and Labour Day (observed)
HNX,2022-05-02,Reunification Day and Labour Day (observed)
UPCOM,2022-05-02,Reunification Day and Labour Day (observed)
HOSE,2022-05-03,Reunification Day and Labour Day (observed)
HNX,2022-05-03,Reunification Day and Labour Day (observed)
UPCOM,2022-05-03,Reunification Day and Labour Day (observed)
HOSE,2022-09-01,National Day
HNX,2022-09-01,National Day
UPCOM,2022-09-01,National Day
HOSE,2022-09-02,National Day
HNX,2022-09-02,National Day
UPCOM,2022-09-02,National Day
HOSE,2023-01-02,New Year's Day (observed)
HNX,2023-01-02,New Year's Day (observed)
UPCOM,2023-01-02,New Year's Day (observed)
HOSE,2023-01-20,Tet
HNX,2023-01-20,Tet
UPCOM,2023-01-20,Tet
HOSE,2023-01-23,Tet
HNX,2023-01-23,Tet
UPCOM,2023-01-23,Tet
HOSE,2023-01-24,Tet
HNX,2023-01-24,Tet
UPCOM,2023-01-24,Tet
HOSE,2023-01-25,Tet
HNX,2023-01-25,Tet
UPCOM,2023-01-25,Tet
HOSE,2023-01-26,Tet
HNX,2023-01-26,Tet
UPCOM,2023-01-26,Tet
HOSE,2023-05-01,Hung Kings, Reunification Day and Labour Day (observed)
HNX,2023-05-01,Hung Kings, Reunification Day and Labour Day (observed)
UPCOM,2023-05-01,Hung Kings, Reunification Day and Labour Day (observed)
HOSE,2023-05-02,Hung Kings, Reunification Day and Labour Day (observed)
HNX,2023-05-02,Hung Kings, Reunification Day and Labour Day (observed)
UPCOM,2023-05-02,Hung Kings, Reunification Day and Labour Day (observed)
HOSE,2023-05-03,Hung Kings, Reunification Day and Labour Day (observed)
HNX,2023-05-03,Hung Kings, Reunification Day and Labour Day (observed)
UPCOM,2023-05-03,Hung Kings, Reunification Day and Labour Day (observed)
HOSE,2023-09-01,National Day
HNX,2023-09-01,National Day
UPCOM,2023-09-01,National Day
HOSE,2023-09-04,National Day
HNX,2023-09-04,National Day
UPCOM,2023-09-04,National Day
HOSE,2024-01-01,New Year's Day
HNX,2024-01-01,New Year's Day
UPCOM,2024-01-01,New Year's Day
HOSE,2024-02-08,Tet
HNX,2024-02-08,Tet
UPCOM,2024-02-08,Tet
HOSE,2024-02-09,Tet
HNX,2024-02-09,Tet
UPCOM,2024-02-09,Tet
HOSE,2024-02-12,Tet
HNX,2024-02-12,Tet
UPCOM,2024-02-12,Tet
HOSE,2024-02-13,Tet
HNX,2024-02-13,Tet
UPCOM,2024-02-13,Tet
HOSE,2024-02-14,Tet
HNX,2024-02-14,Tet
UPCOM,2024-02-14,Tet
HOSE,2024-04-18,Hung Kings Commemoration
HNX,2024-04-18,Hung Kings Commemoration
UPCOM,2024-04-18,Hung Kings Commemoration
HOSE,2024-04-29,Reunification Day and Labour Day
HNX,2024-04-29,Reunification Day and Labour Day
UPCOM,2024-04-29,Reunification Day and Labour Day
HOSE,2024-04-30,Reunification Day and Labour Day
HNX,2024-04-30,Reunification Day and Labour Day
UPCOM,2024-04-30,Reunification Day and Labour Day
HOSE,2024-05-01,Reunification Day and Labour Day
HNX,2024-05-01,Reunification Day and Labour Day
UPCOM,2024-05-01,Reunification Day and Labour Day
HOSE,2024-09-02,National Day
HNX,2024-09-02,National Day
UPCOM,2024-09-02,National Day
HOSE,2024-09-03,National Day
HNX,2024-09-03,National Day
UPCOM,2024-09-03,National Day
HOSE,2025-01-01,New Year's Day
HNX,2025-01-01,New Year's Day
UPCOM,2025-01-01,New Year's Day
HOSE,2025-01-27,Tet
HNX,2025-01-27,Tet
UPCOM,2025-01-27,Tet
HOSE,2025-01-28,Tet
HNX,2025-01-28,Tet
UPCOM,2025-01-28,Tet
HOSE,2025-01-29,Tet
HNX,2025-01-29,Tet
UPCOM,2025-01-29,Tet
HOSE,2025-01-30,Tet
HNX,2025-01-30,Tet
UPCOM,2025-01-30,Tet
HOSE,2025-01-31,Tet
HNX,2025-01-31,Tet
UPCOM,2025-01-31,Tet
HOSE,2025-04-07,Hung Kings Commemoration (observed)
HNX,2025-04-07,Hung Kings Commemoration (observed)
UPCOM,2025-04-07,Hung Kings Commemoration (observed)
HOSE,2025-04-30,Reunification Day and Labour Day
HNX,2025-04-30,Reunification Day and Labour Day
UPCOM,2025-04-30,Reunification Day and Labour Day
HOSE,2025-05-01,Reunification Day and Labour Day
HNX,2025-05-01,Reunification Day and Labour Day
UPCOM,2025-05-01,Reunification Day and Labour Day
HOSE,2025-05-02,Reunification Day and Labour Day
HNX,2025-05-02,Reunification Day and Labour Day
UPCOM,2025-05-02,Reunification Day and Labour Day
HOSE,2025-09-01,National Day
HNX,2025-09-01,National Day
UPCOM,2025-09-01,National Day
HOSE,2025-09-02,National Day
HNX,2025-09-02,National Day
UPCOM,2025-09-02,National Day
HOSE,2026-01-01,New Year's Day
HNX,2026-01-01,New Year's Day
UPCOM,2026-01-01,New Year's Day
HOSE,2026-02-16,Tet
HNX,2026-02-16,Tet
UPCOM,2026-02-16,Tet
HOSE,2026-02-17,Tet
HNX,2026-02-17,Tet
UPCOM,2026-02-17,Tet
HOSE,2026-02-18,Tet
HNX,2026-02-18,Tet
UPCOM,2026-02-18,Tet
HOSE,2026-02-19,Tet
HNX,2026-02-19,Tet
UPCOM,2026-02-19,Tet
HOSE,2026-02-20,Tet
HNX,2026-02-20,Tet
UPCOM,2026-02-20,Tet
HOSE,2026-04-27,Hung Kings Commemoration (observed)
HNX,2026-04-27,Hung Kings Commemoration (observed)
UPCOM,2026-04-27,Hung Kings Commemoration (observed)
HOSE,2026-04-30,Reunification Day and Labour Day
HNX,2026-04-30,Reunification Day and Labour Day
UPCOM,2026-04-30,Reunification Day and Labour Day
HOSE,2026-05-01,Reunification Day and Labour Day
HNX,2026-05-01,Reunification Day and Labour Day
UPCOM,2026-05-01,Reunification Day and Labour Day
HOSE,2026-08-31,National Day
HNX,2026-08-31,National Day
UPCOM,2026-08-31,National Day
HOSE,2026-09-01,National Day
HNX,2026-09-01,National Day
UPCOM,2026-09-01,National Day
HOSE,2026-09-02,National Day
HNX,2026-09-02,National Day
UPCOM,2026-09-02,National Day
