universe_code,symbol,effective_from,effective_to,announced_on
DEMO_INDEX,FPT.HM,2026-01-02,,2025-12-15
DEMO_INDEX,VNM.HM,2026-01-02,2026-04-01,2025-12-15
DEMO_INDEX,HPG.HM,2026-04-01,2026-07-01,2026-03-15
DEMO_INDEX,SHS.HN,2026-04-01,,2026-03-15
DEMO_INDEX,VNM.HM,2026-07-01,,2026-06-15
VN30,ACB.HM,2025-08-04,,2025-07-17
VN30,BCM.HM,2025-08-04,2026-02-02,2025-07-17
VN30,BID.HM,2025-08-04,,2025-07-17
VN30,CTG.HM,2025-08-04,,2025-07-17
VN30,DGC.HM,2025-08-04,2026-05-13,2025-07-17
VN30,FPT.HM,2025-08-04,,2025-07-17
VN30,GAS.HM,2025-08-04,,2025-07-17
VN30,GVR.HM,2025-08-04,,2025-07-17
VN30,HDB.HM,2025-08-04,,2025-07-17
VN30,HPG.HM,2025-08-04,,2025-07-17
VN30,LPB.HM,2025-08-04,,2025-07-17
VN30,MBB.HM,2025-08-04,,2025-07-17
VN30,MSN.HM,2025-08-04,,2025-07-17
VN30,MWG.HM,2025-08-04,,2025-07-17
VN30,PLX.HM,2025-08-04,2026-08-03,2025-07-17
VN30,SAB.HM,2025-08-04,,2025-07-17
VN30,SHB.HM,2025-08-04,,2025-07-17
VN30,SSB.HM,2025-08-04,,2025-07-17
VN30,SSI.HM,2025-08-04,,2025-07-17
VN30,STB.HM,2025-08-04,,2025-07-17
VN30,TCB.HM,2025-08-04,,2025-07-17
VN30,TPB.HM,2025-08-04,2026-08-03,2025-07-17
VN30,VCB.HM,2025-08-04,,2025-07-17
VN30,VHM.HM,2025-08-04,,2025-07-17
VN30,VIB.HM,2025-08-04,,2025-07-17
VN30,VIC.HM,2025-08-04,,2025-07-17
VN30,VJC.HM,2025-08-04,,2025-07-17
VN30,VNM.HM,2025-08-04,,2025-07-17
VN30,VPB.HM,2025-08-04,,2025-07-17
VN30,VRE.HM,2025-08-04,,2025-07-17
VN30,VPL.HM,2026-02-02,,2026-01-21
VN30,BSR.HM,2026-05-13,,2026-05-07
VN30,MCH.HM,2026-08-03,,2026-07-15
VN30,TCX.HM,2026-08-03,,2026-07-15
